area_type,availability,location,society,bhk,sqft,bath,balcony,price
Built-up  Area,18-May,KR Puram,SancyRe,2,1075,2,2,32.25
Super built-up  Area,18-May,Hosa Road,,2,1079,2,1,32.37
Super built-up  Area,18-May,Hosa Road,SStusan,2,1079,2,1,32.37
Plot  Area,18-Nov,Chandapura,,2,1200,1,1,36
Plot  Area,18-Nov,Chandapura,,2,1200,2,1,36
Plot  Area,Ready To Move,Anekal,,4,1200,2,1,36
Plot  Area,18-Nov,Chandapura,,2,1200,2,1,36
Plot  Area,19-Jan,Anekal,,2,1200,1,1,36
Plot  Area,19-Jan,Anekal,,2,1200,1,1,36
Super built-up  Area,18-Aug,Ananth Nagar,,2,1200,2,1,36
Plot  Area,19-Jan,Anekal,,2,1200,1,1,36
Plot  Area,19-Jan,Anekal,,2,1200,1,1,36
Plot  Area,19-Jan,Anekal,,2,1200,1,1,36
Plot  Area,19-Jan,Anekal,,2,1200,1,1,36
Plot  Area,19-Jan,Anekal,,2,1200,1,1,36
Super built-up  Area,18-Aug,Hennur Road,DSeldpr,2,1200,2,1,36
Super built-up  Area,Ready To Move,Kereguddadahalli,DSdorSp,3,1300,2,2,39
Super built-up  Area,Ready To Move,Uttarahalli,SLnssPr,3,1330,2,2,39.9
Super built-up  Area,Ready To Move,Kereguddadahalli,DSdorSp,3,1400,2,2,42
Plot  Area,Ready To Move,Suryanagar,,2,1500,2,1,45
Super built-up  Area,Ready To Move,R.T. Nagar,,2,1500,2,2,45
Super built-up  Area,Ready To Move,Electronic City,DSgmax ,3,1530,2,1,45.9
Super built-up  Area,19-Dec,Electronic City Phase II,DSineSt,3,1611,2,2,48.33
Super built-up  Area,19-Dec,Electronic City Phase II,DSineSt,3,1625,2,2,48.75
Super built-up  Area,Ready To Move,KR Puram,DSise S,3,1930,2,2,57.9
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,Pantsce,3,2300,2,,69
Super built-up  Area,Ready To Move,Vimanapura,Inion P,3,2500,3,3,75
Super built-up  Area,Ready To Move,Attur Layout,,6,3000,8,,90
Super built-up  Area,19-Dec,Jalahalli,DSata S,2,1083,2,1,32.49
Super built-up  Area,19-Dec,Jalahalli,DSata S,2,1083,2,1,32.49
Super built-up  Area,18-May,Hosa Road,SStusan,2,1089,2,1,32.67
Built-up  Area,Ready To Move,KR Puram,SancyRe,2,1115,2,2,33.45
Super built-up  Area,Ready To Move,Channasandra,Unm 2El,2,1115,2,1,33.45
Super built-up  Area,18-Jul,JP Nagar,DSvvyx ,2,1120,2,2,33.6
Super built-up  Area,18-Aug,JP Nagar,DSvvyx ,2,1133,2,1,33.99
Super built-up  Area,18-Aug,JP Nagar,DSvvyx ,2,1152,2,1,34.56
Built-up  Area,18-Jul,Electronic City Phase II,Sryalan,3,1220,3,1,36.6
Super built-up  Area,Ready To Move,Kanakpura Road,SPthara,3,1320,2,1,39.6
Built-up  Area,Ready To Move,Babusapalaya,,3,1453,2,2,43.59
Super built-up  Area,Ready To Move,Electronic City,DSgmax ,3,1470,2,1,44.1
Super built-up  Area,19-Dec,Electronic City Phase II,DSineSt,3,1651,3,1,49.53
Plot  Area,19-May,Anekal,,2,1200,2,1,36.1
Plot  Area,19-Apr,Anekal,,2,1200,2,1,36.1
Plot  Area,18-May,Anekal,,2,1200,2,1,36.1
Super built-up  Area,Ready To Move,Thanisandra,SLaceda,2,1225,2,1,37
Super built-up  Area,18-Apr,Sarjapur,SNityVe,3,1170,2,2,35.41
Super built-up  Area,Ready To Move,Electronics City Phase 1,Saent A,3,1321,2,,40
Super built-up  Area,Ready To Move,Thanisandra,SLaceda,2,1188,2,1,36
Super built-up  Area,19-Dec,Sarjapur  Road,Soini T,3,1254,3,2,38
Built-up  Area,Ready To Move,Uttarahalli,,3,1650,2,1,50
Super built-up  Area,17-Oct,Bannerghatta Road,SNillin,3,1450,3,1,44
Super built-up  Area,Ready To Move,Pragathi Nagar,DStra S,2,1350,2,2,41
Super built-up  Area,18-May,Vishwapriya Layout,,3,1250,3,2,38
Built-up  Area,Ready To Move,Electronic City,Itvir M,2,1150,2,2,35
Super built-up  Area,Ready To Move,Uttarahalli,Suitea ,2,1380,2,1,42
Built-up  Area,Ready To Move,Somasundara Palya,Srhts P,3,2300,2,0,70
Super built-up  Area,Ready To Move,Anjanapura,,4,1800,4,2,55
Built-up  Area,Ready To Move,MS Pallya,,5,3600,5,0,110
Super built-up  Area,Ready To Move,Whitefield,SSthamh,2,1340,2,2,41
Built-up  Area,Ready To Move,Electronic City,VHistal,2,1142,2,0,35
Super built-up  Area,Ready To Move,Hoskote,VRowsa ,2,1095,2,2,33.6
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,3,1075,2,1,33
Super built-up  Area,Ready To Move,Sarjapur  Road,Mailsaf,2,1205,2,2,37
Super built-up  Area,18-Apr,Thirumenahalli,MNtha A,3,1378,2,3,42.33
Super built-up  Area,Ready To Move,Hosakerehalli,APncyla,3,1590,3,3,49
Super built-up  Area,18-Mar,Varthur,Hirio L,2,1097,2,1,33.82
Super built-up  Area,Ready To Move,Volagerekallahalli,PSterAs,2,1070,2,2,32.99
Super built-up  Area,Ready To Move,Anantapura,,2,1200,2,2,37
Super built-up  Area,Ready To Move,Volagerekallahalli,,2,1070,2,2,33
Super built-up  Area,18-May,Hosa Road,SStusan,2,1063,2,1,32.79
Super built-up  Area,18-Apr,Electronic City Phase II,MJtroty,3,1329,2,2,41
Super built-up  Area,18-May,Hosa Road,,2,1063,2,1,32.8
Built-up  Area,Ready To Move,Abbigere,,6,2200,6,2,68
Built-up  Area,Ready To Move,Sanne Amanikere,Hoxiaa ,3,1455,2,1,45
Super built-up  Area,Ready To Move,Hosur Road,Collsrn,2,1180,2,2,36.5
Super built-up  Area,Ready To Move,Volagerekallahalli,PSterAs,2,1070,2,2,33.15
Super built-up  Area,Ready To Move,Chandapura,Halms S,3,1065,2,1,33
Super built-up  Area,18-Apr,Kodigehalli,,2,1086,2,1,33.66
Super built-up  Area,Ready To Move,Sarjapur  Road,DSlesSp,2,1104,2,1,34.22
Super built-up  Area,Ready To Move,Varthur,Hirio L,2,1091,2,1,33.82
Built-up  Area,14-Nov,Whitefield,,3,1410,3,2,43.71
Built-up  Area,14-Jul,Kumbena Agrahara,Shont F,3,1410,2,2,43.71
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,Puownm ,3,1676,3,3,52
Super built-up  Area,Ready To Move,Begur Road,,2,1160,2,2,36
Plot  Area,Ready To Move,Byappanahalli,,5,2900,5,2,90
Super built-up  Area,Ready To Move,Hosur Road,Collsrn,2,1085,2,2,33.7
Super built-up  Area,Ready To Move,Channasandra,Unm 2El,2,1093,2,1,34
Super built-up  Area,Ready To Move,Kothannur,,2,1350,2,2,42
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,Mauner ,3,1605,3,2,50
Super built-up  Area,Ready To Move,Yelahanka,Prdomt ,3,1075,2,1,33.53
Super built-up  Area,18-Apr,Bommanahalli,,3,1250,4,3,39
Super built-up  Area,18-Apr,OLd Gurappanapalya,,3,1250,3,2,39
Super built-up  Area,Ready To Move,Doddagubbi,,2,1250,2,3,39
Super built-up  Area,18-May,Madiwala,,3,1250,3,2,39
Plot  Area,Immediate Possession,Devanahalli,Ajleyor,,1500,,,46.8
Super built-up  Area,18-Jun,Kothannur,,3,1275,2,2,39.8
Super built-up  Area,Ready To Move,Volagerekallahalli,,2,1070,2,2,33.43
Super built-up  Area,Ready To Move,Yelenahalli,MDoseim,2,1056,2,2,33
Super built-up  Area,Ready To Move,Doddanekundi,,2,1280,2,2,40
Super built-up  Area,Ready To Move,Bannerghatta Road,DSnjh S,3,1344,2,1,42
Super built-up  Area,Ready To Move,K G Colony,Aincy R,3,1600,2,,50
Super built-up  Area,Ready To Move,Ullal Uppanagar,,6,2400,5,2,75
