area_type,availability,location,society,bhk,sqft,bath,balcony,price
0,25,329,1008,2.0,1075.0,2.0,2.0,32.25
3,25,286,723,2.0,1079.0,2.0,1.0,32.37
3,25,286,957,2.0,1079.0,2.0,1.0,32.37
2,26,147,723,2.0,1200.0,1.0,1.0,36.0
2,26,147,723,2.0,1200.0,2.0,1.0,36.0
2,61,51,723,4.0,1200.0,2.0,1.0,36.0
2,26,147,723,2.0,1200.0,2.0,1.0,36.0
2,32,51,723,2.0,1200.0,1.0,1.0,36.0
2,32,51,723,2.0,1200.0,1.0,1.0,36.0
3,18,48,723,2.0,1200.0,2.0,1.0,36.0
2,32,51,723,2.0,1200.0,1.0,1.0,36.0
2,32,51,723,2.0,1200.0,1.0,1.0,36.0
2,32,51,723,2.0,1200.0,1.0,1.0,36.0
2,32,51,723,2.0,1200.0,1.0,1.0,36.0
2,32,51,723,2.0,1200.0,1.0,1.0,36.0
3,18,275,243,2.0,1200.0,2.0,1.0,36.0
3,61,379,240,3.0,1300.0,2.0,2.0,39.0
3,61,637,917,3.0,1330.0,2.0,2.0,39.9
3,61,379,240,3.0,1400.0,2.0,2.0,42.0
2,61,613,723,2.0,1500.0,2.0,1.0,45.0
3,61,518,723,2.0,1500.0,2.0,2.0,45.0
3,61,213,252,3.0,1530.0,2.0,1.0,45.9
3,31,215,254,3.0,1611.0,2.0,2.0,48.33
3,31,215,254,3.0,1625.0,2.0,2.0,48.75
3,61,329,259,3.0,1930.0,2.0,2.0,57.9
3,61,602,755,3.0,2300.0,2.0,0.0,69.0
3,61,665,435,3.0,2500.0,3.0,3.0,75.0
3,61,70,723,6.0,3000.0,8.0,0.0,90.0
3,31,312,237,2.0,1083.0,2.0,1.0,32.49
3,31,312,237,2.0,1083.0,2.0,1.0,32.49
3,25,286,957,2.0,1089.0,2.0,1.0,32.67
0,61,329,1008,2.0,1115.0,2.0,2.0,33.45
3,61,148,1256,2.0,1115.0,2.0,1.0,33.45
3,22,304,274,2.0,1120.0,2.0,2.0,33.6
3,18,304,274,2.0,1133.0,2.0,1.0,33.99
3,18,304,274,2.0,1152.0,2.0,1.0,34.56
0,22,215,1189,3.0,1220.0,3.0,1.0,36.6
3,61,360,940,3.0,1320.0,2.0,1.0,39.6
0,61,85,723,3.0,1453.0,2.0,2.0,43.59
3,61,213,252,3.0,1470.0,2.0,1.0,44.1
3,31,215,254,3.0,1651.0,3.0,1.0,49.53
2,36,51,723,2.0,1200.0,2.0,1.0,36.1
2,29,51,723,2.0,1200.0,2.0,1.0,36.1
2,25,51,723,2.0,1200.0,2.0,1.0,36.1
3,61,622,908,2.0,1225.0,2.0,1.0,37.0
3,17,564,936,3.0,1170.0,2.0,2.0,35.41
3,61,218,987,3.0,1321.0,2.0,0.0,40.0
3,61,622,908,2.0,1188.0,2.0,1.0,36.0
3,31,565,1109,3.0,1254.0,3.0,2.0,38.0
0,61,637,723,3.0,1650.0,2.0,1.0,50.0
3,15,102,934,3.0,1450.0,3.0,1.0,44.0
3,61,512,270,2.0,1350.0,2.0,2.0,41.0
3,25,672,723,3.0,1250.0,3.0,2.0,38.0
0,61,213,447,2.0,1150.0,2.0,2.0,35.0
3,61,637,1204,2.0,1380.0,2.0,1.0,42.0
0,61,593,1155,3.0,2300.0,2.0,0.0,70.0
3,61,52,723,4.0,1800.0,4.0,2.0,55.0
0,61,419,723,5.0,3600.0,5.0,0.0,110.0
3,61,680,956,2.0,1340.0,2.0,2.0,41.0
0,61,213,1269,2.0,1142.0,2.0,0.0,35.0
3,61,291,1279,2.0,1095.0,2.0,2.0,33.6
3,61,128,805,3.0,1075.0,2.0,1.0,33.0
3,61,565,609,2.0,1205.0,2.0,2.0,37.0
3,17,625,572,3.0,1378.0,2.0,3.0,42.33
3,61,288,7,3.0,1590.0,3.0,3.0,49.0
3,24,642,408,2.0,1097.0,2.0,1.0,33.82
3,61,678,740,2.0,1070.0,2.0,2.0,32.99
3,61,46,723,2.0,1200.0,2.0,2.0,37.0
3,61,678,723,2.0,1070.0,2.0,2.0,33.0
3,25,286,957,2.0,1063.0,2.0,1.0,32.79
3,17,215,567,3.0,1329.0,2.0,2.0,41.0
3,25,286,723,2.0,1063.0,2.0,1.0,32.8
0,61,26,723,6.0,2200.0,6.0,2.0,68.0
0,61,562,420,3.0,1455.0,2.0,1.0,45.0
3,61,292,217,2.0,1180.0,2.0,2.0,36.5
3,61,678,740,2.0,1070.0,2.0,2.0,33.15
3,61,147,397,3.0,1065.0,2.0,1.0,33.0
3,17,386,723,2.0,1086.0,2.0,1.0,33.66
3,61,565,262,2.0,1104.0,2.0,1.0,34.22
3,61,642,408,2.0,1091.0,2.0,1.0,33.82
0,1,680,723,3.0,1410.0,3.0,2.0,43.71
0,0,403,1071,3.0,1410.0,2.0,2.0,43.71
3,61,567,845,3.0,1676.0,3.0,3.0,52.0
3,61,111,723,2.0,1160.0,2.0,2.0,36.0
2,61,137,723,5.0,2900.0,5.0,2.0,90.0
3,61,292,217,2.0,1085.0,2.0,2.0,33.7
3,61,148,1256,2.0,1093.0,2.0,1.0,34.0
3,61,392,723,2.0,1350.0,2.0,2.0,42.0
3,61,236,642,3.0,1605.0,3.0,2.0,50.0
3,61,684,788,3.0,1075.0,2.0,1.0,33.53
3,17,129,723,3.0,1250.0,4.0,3.0,39.0
